18678398;7;DELCA ALEJAN;AROCA;LAFFERTE;-;-;0
5773878;8;COLOMBA DANYA;QUEZADA;TOPP;-;-;0
18316956;6;GAMAL ARMANDINA;NIVIN;SAMUR;-;-;0
20185091;7;ARISTÍDES KATHERYNE;FEJES;DE RUYT;-;-;0
21409877;2;CHRISTOFHER GERHARD;SCHILLING;BADANI;-;-;0
8509444;6;NAYRA ELAINE;MANSO;ARELLANO;-;-;0
16796437;4;CARMIÑA GIANNY;LAM;ALUCEMA;-;-;0
24231776;0;HENID PURISIMA;CHANDIA;JAIME;-;-;0
14813687;1;ESTER NATALY;ALONSO;ALMONTE;-;-;0
9327234;5;CAROLA NEO;LILLO;INZUNZA;-;-;0
6843987;4;ALBER LUKAS;SEMMLER;SPENCER;-;-;0
17809098;6;JOHANA IANN;VINET;MONTAÑO;-;-;0
14098509;7;AMANDA VANESA;VILLAR;TORREBLANCA;-;-;0
25843105;3;CATALINA ROSSIE;BOBADILLA;DUNSTAN;-;-;0
21794235;1;NOREDY GRISEL;MURGA;DUBO;-;-;0
17734410;2;ROGER ESTEPHANIE;GONZÁLEZ;WATKINS;-;-;0
10055195;5;DONKA BERNABÉ;HERNANDEZ;ALBARRAN;-;-;0
8448392;0;ANDRÉS NAYARE;LEIGHTON;LEMUS;-;-;0
16965559;3;ALIN KIMIE;REQUENA;CELEDON;-;-;0
10355093;1;ZITA YASSEL;GARVIZO;LEFORT;-;-;0
10838564;4;DELALUZ AURORA;LABBE;ERAZO;-;-;0
4909616;7;MAURI ARMANDO;LABORDE;CARRION;-;-;0
17394618;6;FABRIZIO RALLEN;GUAMÁN;MAC-INNES;-;-;0
12921878;4;RAISBEL CRISTÓBAL;THIELEMANN;SUTHERLAND;-;-;0
9356329;4;ARACE ADRIANA;MICHEA;BUCAREY;-;-;0
20053287;4;SCARLETH LESLIA;CASTIBLANCO;CARIZ;-;-;0
10886944;2;ELBA DANITZA;VALDIVIESO;CAYUQUEO;-;-;0
7791993;1;STEFANIA ENGHEL;BANDELLI;POL;-;-;0
9399314;3;SIMON ANDRES;MILLAQUEO;BARRA;-;-;0
18917759;2;KARYN ROMAN;ABALOS;GAETE;-;-;0
21511139;8;ARELY PATRICIO;MAURO;VERNAL;-;-;0
19546071;7;WLADIMIR FERNANDEZ;LACOSTE;BELLINGHAUSEN;-;-;0
14521962;8;YANARA JEANS;MAZUELA;OLATE;-;-;0
6175568;8;ROCÍO SAUL;PARAUD;BELMAR;-;-;0
16785757;8;YENY EDGARD;CHAMEAUT;SALVADO;-;-;0
25150706;K;ENGHEL CHRISTIANS;CANTILLANO;CHEHADE;-;-;0
18037648;K;EPIFANIA WENDY;MEDEL;HAMASAKI;-;-;0
16744617;7;LEONOR ENRIQUEZ;PASTORIZA;PICEROS;-;-;0
14333328;7;ABLO PAZBELÉN;MULCHI;FICA;-;-;0
8441459;9;KENNY PABLORAIM;ZERENE;GALARCE;-;-;0
20046479;8;ELIEZER DANNAE;PROVIDELL;COBOS;-;-;0
16575612;6;MERCEDES SAMIR;MANCILLA;CÓRDOVA;-;-;0
9509629;5;FELIP NILIMA;MURUA;OSSES;-;-;0
22253570;7;CRISTI TERESA;BRITO;FLORIDO;-;-;0
12034277;6;SOL NESTOR;MENDEL;TORRIJO;-;-;0
12047085;6;ARCHIVALDO SAVKA;HUARAPIL;OLATE;-;-;0
24884291;0;ZITA BENITO;JOCIC;FONTALVO;-;-;0
4418023;2;KATHIA CARMEN;COLLONAO;BEYER;-;-;0
16385852;7;KAROL INGEBORD;NARVAES;RETAMAL;-;-;0
25094303;8;JISSELE SERGIO;ZIGANTE;GILLIBRAND;-;-;0
16490873;6;IVICA VICTO;UMAÑA;OLIVA;-;-;0
8131890;7;KURTH AMARA;ALZAMORA;ABARCA;-;-;0
23083071;K;ALYSON JEFFERSON;RUBINEK;RICCI;-;-;0
12547677;1;ALEXANDRE VIARLY;FISCHER;POZA;-;-;0
15944651;0;GLENDA VALENTINO;RUMINOT;REYNOSO;-;-;0
