18678398|7|DELCA|ALEJAN|AROCA|||
5773878|8|COLOMBA|DANYA|QUEZADA|||
18316956|6|GAMAL|ARMANDINA|NIVIN|||
20185091|7|ARISTÍDES|KATHERYNE|FEJES|||
21409877|2|CHRISTOFHER|GERHARD|SCHILLING|||
8509444|6|NAYRA|ELAINE|MANSO|||
16796437|4|CARMIÑA|GIANNY|LAM|||
24231776|0|HENID|PURISIMA|CHANDIA|||
14813687|1|ESTER|NATALY|ALONSO|||
9327234|5|CAROLA|NEO|LILLO|||
6843987|4|ALBER|LUKAS|SEMMLER|||
17809098|6|JOHANA|IANN|VINET|||
14098509|7|AMANDA|VANESA|VILLAR|||
25843105|3|CATALINA|ROSSIE|BOBADILLA|||
21794235|1|NOREDY|GRISEL|MURGA|||
17734410|2|ROGER|ESTEPHANIE|GONZÁLEZ|||
10055195|5|DONKA|BERNABÉ|HERNANDEZ|||
8448392|0|ANDRÉS|NAYARE|LEIGHTON|||
16965559|3|ALIN|KIMIE|REQUENA|||
10355093|1|ZITA|YASSEL|GARVIZO|||
10838564|4|DELALUZ|AURORA|LABBE|||
4909616|7|MAURI|ARMANDO|LABORDE|||
17394618|6|FABRIZIO|RALLEN|GUAMÁN|||
12921878|4|RAISBEL|CRISTÓBAL|THIELEMANN|||
9356329|4|ARACE|ADRIANA|MICHEA|||
20053287|4|SCARLETH|LESLIA|CASTIBLANCO|||
10886944|2|ELBA|DANITZA|VALDIVIESO|||
7791993|1|STEFANIA|ENGHEL|BANDELLI|||
9399314|3|SIMON|ANDRES|MILLAQUEO|||
18917759|2|KARYN|ROMAN|ABALOS|||
21511139|8|ARELY|PATRICIO|MAURO|||
19546071|7|WLADIMIR|FERNANDEZ|LACOSTE|||
14521962|8|YANARA|JEANS|MAZUELA|||
6175568|8|ROCÍO|SAUL|PARAUD|||
16785757|8|YENY|EDGARD|CHAMEAUT|||
25150706|K|ENGHEL|CHRISTIANS|CANTILLANO|||
18037648|K|EPIFANIA|WENDY|MEDEL|||
16744617|7|LEONOR|ENRIQUEZ|PASTORIZA|||
14333328|7|ABLO|PAZBELÉN|MULCHI|||
8441459|9|KENNY|PABLORAIM|ZERENE|||
20046479|8|ELIEZER|DANNAE|PROVIDELL|||
16575612|6|MERCEDES|SAMIR|MANCILLA|||
9509629|5|FELIP|NILIMA|MURUA|||
22253570|7|CRISTI|TERESA|BRITO|||
